id,check_date,query,engine,domain,position
1009,2026-07-11,купить люстру,yandex,svetlux.ru,
1010,2026-07-11,купить люстру,yandex,lu.ru,
1011,2026-07-11,купить люстру,yandex,vamsvet.ru,5.0
1012,2026-07-11,купить люстру,yandex,market-sveta.ru,
1013,2026-07-11,купить люстру,yandex,donplafon.ru,
1014,2026-07-11,купить люстру,yandex,svetilnik-online.ru,6.0
1015,2026-07-11,купить люстру,yandex,divine-light.ru,
1016,2026-07-11,купить люстру,yandex,220svet.ru,
1017,2026-07-11,купить люстру,google,svetlux.ru,5.0
1018,2026-07-11,купить люстру,google,lu.ru,
1019,2026-07-11,купить люстру,google,vamsvet.ru,
1020,2026-07-11,купить люстру,google,market-sveta.ru,4.0
1021,2026-07-11,купить люстру,google,donplafon.ru,
1022,2026-07-11,купить люстру,google,svetilnik-online.ru,
1023,2026-07-11,купить люстру,google,divine-light.ru,
1024,2026-07-11,купить люстру,google,220svet.ru,
1025,2026-07-11,люстры,yandex,svetlux.ru,4.0
1026,2026-07-11,люстры,yandex,lu.ru,2.0
1027,2026-07-11,люстры,yandex,vamsvet.ru,
1028,2026-07-11,люстры,yandex,market-sveta.ru,
1029,2026-07-11,люстры,yandex,donplafon.ru,
1030,2026-07-11,люстры,yandex,svetilnik-online.ru,3.0
1031,2026-07-11,люстры,yandex,divine-light.ru,
1032,2026-07-11,люстры,yandex,220svet.ru,
1033,2026-07-11,люстры,google,svetlux.ru,3.0
1034,2026-07-11,люстры,google,lu.ru,
1035,2026-07-11,люстры,google,vamsvet.ru,
1036,2026-07-11,люстры,google,market-sveta.ru,
1037,2026-07-11,люстры,google,donplafon.ru,
1038,2026-07-11,люстры,google,svetilnik-online.ru,
1039,2026-07-11,люстры,google,divine-light.ru,
1040,2026-07-11,люстры,google,220svet.ru,
1041,2026-07-11,люстра потолочная,yandex,svetlux.ru,
1042,2026-07-11,люстра потолочная,yandex,lu.ru,5.0
1043,2026-07-11,люстра потолочная,yandex,vamsvet.ru,
1044,2026-07-11,люстра потолочная,yandex,market-sveta.ru,
1045,2026-07-11,люстра потолочная,yandex,donplafon.ru,
1046,2026-07-11,люстра потолочная,yandex,svetilnik-online.ru,
1047,2026-07-11,люстра потолочная,yandex,divine-light.ru,
1048,2026-07-11,люстра потолочная,yandex,220svet.ru,
1049,2026-07-11,люстра потолочная,google,svetlux.ru,
1050,2026-07-11,люстра потолочная,google,lu.ru,
1051,2026-07-11,люстра потолочная,google,vamsvet.ru,7.0
1052,2026-07-11,люстра потолочная,google,market-sveta.ru,4.0
1053,2026-07-11,люстра потолочная,google,donplafon.ru,
1054,2026-07-11,люстра потолочная,google,svetilnik-online.ru,
1055,2026-07-11,люстра потолочная,google,divine-light.ru,
1056,2026-07-11,люстра потолочная,google,220svet.ru,
1057,2026-07-11,купить люстру в москве,yandex,svetlux.ru,
1058,2026-07-11,купить люстру в москве,yandex,lu.ru,
1059,2026-07-11,купить люстру в москве,yandex,vamsvet.ru,
1060,2026-07-11,купить люстру в москве,yandex,market-sveta.ru,
1061,2026-07-11,купить люстру в москве,yandex,donplafon.ru,3.0
1062,2026-07-11,купить люстру в москве,yandex,svetilnik-online.ru,
1063,2026-07-11,купить люстру в москве,yandex,divine-light.ru,
1064,2026-07-11,купить люстру в москве,yandex,220svet.ru,6.0
1065,2026-07-11,купить люстру в москве,google,svetlux.ru,8.0
1066,2026-07-11,купить люстру в москве,google,lu.ru,
1067,2026-07-11,купить люстру в москве,google,vamsvet.ru,3.0
1068,2026-07-11,купить люстру в москве,google,market-sveta.ru,
1069,2026-07-11,купить люстру в москве,google,donplafon.ru,2.0
1070,2026-07-11,купить люстру в москве,google,svetilnik-online.ru,
1071,2026-07-11,купить люстру в москве,google,divine-light.ru,
