check_date,engine,query,position,is_brand
2026-07-12,google,2 спота,45.0,False
2026-07-12,yandex,2 спота,18.0,False
2026-07-12,google,ambrella light,9.0,False
2026-07-12,yandex,ambrella light,6.0,False
2026-07-12,yandex,ambrella light производитель страна,11.0,False
2026-07-12,google,ambrella light светильник,12.0,False
2026-07-12,google,ambrella volt,11.0,False
2026-07-12,yandex,ambrella volt,9.0,False
2026-07-12,google,arte lamp,39.0,False
2026-07-12,yandex,arte lamp,18.0,False
2026-07-12,yandex,arte lamp подвесной,32.0,False
2026-07-12,google,belfast светильники,3.0,False
2026-07-12,google,citilux,10.0,False
2026-07-12,yandex,citilux,6.0,False
2026-07-12,google,citilux led,17.0,False
2026-07-12,google,citilux led driver,3.0,False
2026-07-12,google,citilux smart,27.0,False
2026-07-12,yandex,citilux smart,10.0,False
2026-07-12,google,citilux люстра,30.0,False
2026-07-12,google,denkirs светильники,9.0,False
2026-07-12,yandex,denkirs светильники,4.0,False
2026-07-12,google,e14 цоколь,9.0,False
2026-07-12,yandex,e14 цоколь,1.0,False
2026-07-12,google,eglo,10.0,False
2026-07-12,yandex,eglo,30.0,False
2026-07-12,google,elektrostandard,20.0,False
2026-07-12,yandex,elektrostandart,31.0,False
2026-07-12,yandex,eurosvet светильники,7.0,False
2026-07-12,yandex,favourite,18.0,False
2026-07-12,google,freya,11.0,False
2026-07-12,google,freya светильники,11.0,False
2026-07-12,yandex,freya светильники,20.0,False
2026-07-12,yandex,g53 светильник,7.0,False
2026-07-12,google,kink light светильник самолет,2.0,False
2026-07-12,yandex,kink light светильник самолет,1.0,False
2026-07-12,google,led driver citilux,6.0,False
2026-07-12,yandex,led driver citilux,7.0,False
2026-07-12,google,led светильники потолочные,32.0,False
2026-07-12,yandex,led светильники потолочные,6.0,False
2026-07-12,yandex,light бра,11.0,False
2026-07-12,yandex,lighting настенный светильник,17.0,False
2026-07-12,yandex,lighting подвесной светильник,11.0,False
2026-07-12,yandex,lightstar,28.0,False
2026-07-12,google,luce люстры,17.0,False
2026-07-12,yandex,luce люстры,4.0,False
2026-07-12,yandex,lumia светильники,4.0,False
2026-07-12,yandex,lussole,18.0,False
2026-07-12,google,lux свет,2.0,False
2026-07-12,yandex,lux свет,12.0,False
2026-07-12,google,mantra торшеры,23.0,False
2026-07-12,yandex,mantra торшеры,9.0,False
2026-07-12,google,mantra уличный светильник,7.0,False
2026-07-12,yandex,mantra уличный светильник,15.0,False
2026-07-12,google,maytoni,39.0,False
2026-07-12,yandex,maytoni,28.0,False
2026-07-12,google,maytoni downing street,14.0,False
2026-07-12,yandex,maytoni ego,17.0,False
2026-07-12,google,maytoni gu10,24.0,False
2026-07-12,yandex,maytoni gu10,40.0,False
2026-07-12,yandex,maytoni led,20.0,False
2026-07-12,google,maytoni ru,25.0,False
2026-07-12,yandex,maytoni ru,27.0,False
2026-07-12,google,maytoni встраиваемый,25.0,False
2026-07-12,google,maytoni встроенный,17.0,False
2026-07-12,yandex,maytoni встроенный,29.0,False
2026-07-12,google,maytoni официальный,37.0,False
2026-07-12,google,maytoni официальный сайт,16.0,False
2026-07-12,yandex,maytoni официальный сайт,36.0,False
2026-07-12,yandex,maytoni подвесной,48.0,False
2026-07-12,google,maytoni сайт,15.0,False
2026-07-12,yandex,maytoni сайт,28.0,False
2026-07-12,google,maytoni уличные,6.0,False
2026-07-12,yandex,maytoni уличные,22.0,False
2026-07-12,google,newport люстры,7.0,False
2026-07-12,yandex,novotech,10.0,False
2026-07-12,google,odeon light,19.0,False
2026-07-12,google,omnilux люстра,12.0,False
2026-07-12,google,reccagni angelo,14.0,False
2026-07-12,yandex,reccagni angelo,10.0,False
2026-07-12,google,rgb led лента,14.0,False
2026-07-12,google,rgb ленты,12.0,False
2026-07-12,google,rgbw лента,19.0,False
2026-07-12,yandex,rgbw лента,19.0,False
2026-07-12,google,smart arlight,16.0,False
2026-07-12,yandex,smart arlight,28.0,False
2026-07-12,yandex,st luce,21.0,False
2026-07-12,yandex,st luce sl,8.0,False
2026-07-12,google,st luce светильники,14.0,False
2026-07-12,google,stilfort,12.0,False
2026-07-12,google,swg светильники,2.0,False
2026-07-12,yandex,swg светильники,10.0,False
2026-07-12,google,velante люстра,13.0,False
2026-07-12,yandex,абажур,3.0,False
2026-07-12,google,абажур для люстры,2.0,False
2026-07-12,yandex,абажур для люстры,1.0,False
2026-07-12,google,абажур для настольной лампы купить отдельно,3.0,False
2026-07-12,yandex,абажур для настольной лампы купить отдельно,7.0,False
2026-07-12,google,абажур для торшера,23.0,False
2026-07-12,google,абажур купить,7.0,False
2026-07-12,yandex,абажур купить,5.0,False
2026-07-12,google,абажур купить в москве,8.0,False
2026-07-12,yandex,абажур купить в москве,6.0,False
2026-07-12,google,абажур на люстру,4.0,False
2026-07-12,google,абажур на настольную лампу,4.0,False
2026-07-12,yandex,абажур на настольную лампу,3.0,False
2026-07-12,google,абажур на светильник,3.0,False
2026-07-12,google,абажуры,18.0,False
2026-07-12,yandex,абажуры,3.0,False
2026-07-12,google,абажуры для бра,8.0,False
2026-07-12,yandex,абажуры для бра,7.0,False
2026-07-12,google,абажуры для ламп,4.0,False
2026-07-12,yandex,абажуры для ламп,4.0,False
2026-07-12,google,абажуры для люстр купить,2.0,False
2026-07-12,yandex,абажуры для люстр купить,2.0,False
2026-07-12,google,абажуры для люстры,2.0,False
2026-07-12,yandex,абажуры для люстры,3.0,False
2026-07-12,google,абажуры для настольных ламп,8.0,False
2026-07-12,yandex,абажуры для настольных ламп,4.0,False
2026-07-12,google,абажуры для настольных ламп отдельно,4.0,False
2026-07-12,yandex,абажуры для настольных ламп отдельно,4.0,False
2026-07-12,google,абажуры для светильников,2.0,False
2026-07-12,yandex,абажуры для светильников,3.0,False
2026-07-12,google,абажуры купить,3.0,False
2026-07-12,yandex,абажуры купить,7.0,False
2026-07-12,google,абажуры на люстру,3.0,False
2026-07-12,yandex,абажуры на люстру,1.0,False
2026-07-12,google,аксессуары для люстры,1.0,False
2026-07-12,google,аксессуары для светильников,2.0,False
2026-07-12,yandex,аксессуары для светильников,7.0,False
2026-07-12,google,алюминиевый профиль для ступеней с подсветкой,14.0,False
2026-07-12,yandex,алюминиевый профиль для ступеней с подсветкой,23.0,False
2026-07-12,yandex,американские настольные лампы,2.0,False
2026-07-12,google,арматура для тросовых светильников,29.0,False
2026-07-12,yandex,арматура для тросовых светильников,1.0,False
2026-07-12,google,арочный торшер купить,3.0,False
2026-07-12,google,арт деко люстры,10.0,False
2026-07-12,yandex,арт деко люстры,2.0,False
2026-07-12,yandex,артдеко свет,4.0,False
2026-07-12,yandex,арте ламп,10.0,False
2026-07-12,yandex,белые встроенные светильники,28.0,False
2026-07-12,google,беспроводной светильник на балкон,3.0,False
2026-07-12,yandex,блок люстры,20.0,False
2026-07-12,google,блок управления для светильника потолочного citilux,12.0,False
2026-07-12,yandex,блок управления для светильника потолочного citilux,6.0,False
2026-07-12,google,большой выбор освещения в москве,11.0,False
2026-07-12,yandex,большой выбор освещения в москве,4.0,False
2026-07-12,google,бра,31.0,False
2026-07-12,yandex,бра lighting,18.0,False
2026-07-12,yandex,бра odeon,3.0,False
2026-07-12,yandex,бра odeon light,2.0,False
2026-07-12,yandex,бра odeon light formia,11.0,False
2026-07-12,yandex,бра арт деко,1.0,False
2026-07-12,yandex,бра белый,23.0,False
2026-07-12,google,бра богемия,7.0,False
2026-07-12,yandex,бра для спальни,8.0,False
2026-07-12,google,бра из ротанга,21.0,False
2026-07-12,google,бра из ткани,33.0,False
2026-07-12,yandex,бра из ткани,4.0,False
2026-07-12,google,бра интернет магазин,21.0,False
2026-07-12,yandex,бра интернет магазин,10.0,False
2026-07-12,yandex,бра кожа,4.0,False
2026-07-12,yandex,бра купить,7.0,False
2026-07-12,google,бра купить в интернет,26.0,False
2026-07-12,yandex,бра купить в интернет,8.0,False
2026-07-12,google,бра купить москва,19.0,False
2026-07-12,yandex,бра купить москва,3.0,False
2026-07-12,yandex,бра лофт белые трехпожковые,15.0,False
2026-07-12,google,бра москва,14.0,False
2026-07-12,yandex,бра москва,6.0,False
2026-07-12,yandex,бра над кроватью,19.0,False
2026-07-12,yandex,бра настенные,9.0,False
2026-07-12,yandex,бра настенный lussole,6.0,False
2026-07-12,yandex,бра настенный со светом вверх и вниз,1.0,False
2026-07-12,google,бра от производителя лайтстар,12.0,False
2026-07-12,yandex,бра от производителя лайтстар,2.0,False
2026-07-12,google,бра стекло,26.0,False
2026-07-12,yandex,бра стекло,15.0,False
2026-07-12,google,бра текстиль,13.0,False
2026-07-12,yandex,бра текстиль,4.0,False
2026-07-12,google,бра тиффани,17.0,False
2026-07-12,google,бра тканевые,9.0,False
2026-07-12,yandex,бра тканевые,2.0,False
2026-07-12,google,бра флористика,13.0,False
2026-07-12,yandex,бра флористика,32.0,False
2026-07-12,yandex,бра черное,18.0,False
2026-07-12,yandex,веланте люстры,6.0,False
2026-07-12,google,виды люстр,2.0,False
2026-07-12,google,влагозащищенный встраиваемые светильники,28.0,False
2026-07-12,yandex,влагозащищенный встраиваемые светильники,8.0,False
2026-07-12,google,встраиваемые светильники ip44,9.0,False
2026-07-12,yandex,встраиваемые точечные светильники,15.0,False
2026-07-12,google,встраиваемые трековые светильники,47.0,False
2026-07-12,yandex,встраиваемые трековые светильники,33.0,False
2026-07-12,yandex,встраиваемый led светильник,39.0,False
2026-07-12,yandex,встраиваемый круглый светильник,39.0,False
2026-07-12,yandex,встраиваемый светильник maytoni,23.0,False
2026-07-12,google,встраиваемый уличный светильник,18.0,False
2026-07-12,google,встроенная светильники gu10,6.0,False
2026-07-12,google,встроенные led светильники,42.0,False
2026-07-12,yandex,встроенные потолочные светильники светодиодные встраиваемые,35.0,False
2026-07-12,google,встроенные светильники ip44,13.0,False
2026-07-12,yandex,встроенные светильники ip44,36.0,False
2026-07-12,yandex,встроенные светодиодные светильники,46.0,False
2026-07-12,yandex,встроенные споты,4.0,False
2026-07-12,google,встроенный выключатель,3.0,False
2026-07-12,yandex,встроенный линейный светильник,21.0,False
2026-07-12,yandex,встроенный светильник,23.0,False
2026-07-12,google,встроенный светильник maytoni,23.0,False
2026-07-12,yandex,встроенный светильник диаметр,22.0,False
2026-07-12,google,встроенный светильник уличные,20.0,False
2026-07-12,yandex,встроенный светильник уличные,3.0,False
2026-07-12,yandex,встроенный точечный светильник,16.0,False
2026-07-12,google,выбор светодиодной ленты с скотчем 3м,9.0,False
2026-07-12,google,выключатель света,18.0,False
2026-07-12,google,где купить люстру,9.0,False
2026-07-12,yandex,где купить люстру,4.0,False
2026-07-12,google,герлянды,7.0,False
2026-07-12,google,гибкая трековая система,7.0,False
2026-07-12,google,гибкий трековый светильник,11.0,False
2026-07-12,yandex,гибкий трековый светильник,2.0,False
2026-07-12,google,гибкий шинопровод,16.0,False
2026-07-12,google,гипсовые бра,23.0,False
2026-07-12,yandex,гипсовые бра,32.0,False
2026-07-12,google,грунтовые светильники столбики,2.0,False
2026-07-12,yandex,грунтовые светильники столбики,6.0,False
2026-07-12,yandex,декор для арт декор,4.0,False
2026-07-12,google,декор для магазина,3.0,False
2026-07-12,yandex,декор для магазина,4.0,False
2026-07-12,google,декоративная накладка под люстру,1.0,False
2026-07-12,google,декоративные подносы,7.0,False
2026-07-12,yandex,декоративные подносы,10.0,False
2026-07-12,google,декоративные фонарные столбы,1.0,False
2026-07-12,yandex,декоративные фонарные столбы,5.0,False
2026-07-12,yandex,декоративный настольный светильник купить,4.0,False
2026-07-12,google,декоративный фонарный столб,1.0,False
2026-07-12,yandex,декоративный фонарный столб,9.0,False
2026-07-12,google,декорированный хром,22.0,False
2026-07-12,yandex,декорированный хром,1.0,False
2026-07-12,google,деревянная настольная лампа,4.0,False
2026-07-12,yandex,деревянная настольная лампа,6.0,False
2026-07-12,google,держатель для люстры,2.0,False
2026-07-12,google,держатель для светильника,2.0,False
2026-07-12,yandex,держатель для светильника,22.0,False
2026-07-12,google,держатель плафона люстры,12.0,False
2026-07-12,yandex,держатель плафона люстры,9.0,False
2026-07-12,google,детали для люстры,2.0,False
2026-07-12,yandex,детали для люстры,6.0,False
2026-07-12,yandex,дизайнерские люстры,38.0,False
2026-07-12,yandex,дизайнерскиебра купить в москве,3.0,False
2026-07-12,google,диодный светильник,34.0,False
2026-07-12,google,длинные люстры,42.0,False
2026-07-12,yandex,длинные люстры,39.0,False
2026-07-12,yandex,для ванны комнаты светильник,8.0,False
2026-07-12,google,для люстры запчасти,4.0,False
2026-07-12,yandex,для люстры запчасти,4.0,False
2026-07-12,yandex,евросвет,18.0,False
2026-07-12,yandex,желтый настольный торшер,12.0,False
2026-07-12,google,заказать люстру,5.0,False
2026-07-12,yandex,заказать люстру,8.0,False
2026-07-12,google,заказать светильники,3.0,False
2026-07-12,yandex,заказать светильники,3.0,False
2026-07-12,yandex,заказать спот,1.0,False
2026-07-12,yandex,зеленая настольная лампа,18.0,False
2026-07-12,yandex,золотая люстра,16.0,False
2026-07-12,google,золотистый фонарь уличный,9.0,False
2026-07-12,yandex,золотистый фонарь уличный,6.0,False
2026-07-12,google,изогнутые торшеры,1.0,False
2026-07-12,google,изогнутый арочный торшер,1.0,False
2026-07-12,google,изогнутый торшер,11.0,False
2026-07-12,yandex,изогнутый торшер,8.0,False
2026-07-12,google,интересные люстры,14.0,False
2026-07-12,google,интернет люстр,12.0,False
2026-07-12,yandex,интернет люстр,2.0,False
2026-07-12,google,интернет магазин купить потолочную люстру,12.0,False
2026-07-12,google,интернет магазин лампочек,3.0,False
2026-07-12,yandex,интернет магазин лампочек,10.0,False
2026-07-12,google,интернет магазин люстр,11.0,False
2026-07-12,yandex,интернет магазин люстр,1.0,False
2026-07-12,google,интернет магазин люстр и светильников,10.0,False
2026-07-12,yandex,интернет магазин люстр и светильников,1.0,False
2026-07-12,google,интернет магазин люстры,10.0,False
2026-07-12,yandex,интернет магазин люстры,1.0,False
2026-07-12,google,интернет магазин освещения,8.0,False
2026-07-12,yandex,интернет магазин освещения,6.0,False
2026-07-12,google,интернет магазин потолочных люстр в москве,1.0,False
2026-07-12,yandex,интернет магазин потолочных люстр в москве,4.0,False
2026-07-12,google,интернет магазин света,9.0,False
2026-07-12,google,интернет магазин светильников,9.0,False
2026-07-12,yandex,интернет магазин светильников,2.0,False
2026-07-12,google,интернет магазин светильников и люстр,12.0,False
2026-07-12,yandex,интернет магазин светильников и люстр,2.0,False
2026-07-12,google,интернет магазин светильников и люстр светлый,1.0,False
2026-07-12,yandex,интернет магазин светильников и люстр светлый,1.0,False
2026-07-12,google,интернет магазин светильников москва,10.0,False
2026-07-12,google,интернет магазин у светы,27.0,False
2026-07-12,yandex,интернет магазин у светы,8.0,False
2026-07-12,google,интернет-магазин света,9.0,False
2026-07-12,google,интернет-магазин светильников,7.0,False
2026-07-12,yandex,интернет-магазин светильников,1.0,False
2026-07-12,google,испанские светильники,9.0,False
2026-07-12,yandex,испанские светильники,4.0,False
